Statistics,MCTS vs Random,MCTS vs Simple 1,MCTS vs Simple 2,MCTS vs MCTS,Simple 2 vs Random,Simple 2 vs Simple 1,Simple 2 vs Simple 2,Simple 2 vs MCTS,Simple 1 vs Random,Simple 1 vs Simple 1,Simple 1 vs Simple 2,Simple 1 vs MCTS,Random vs Random,Random vs Simple 1,Random vs Simple 2,Random vs MCTS
count,1000.0,1845.0,995.0,383.0,772.0,564.0,862.0,772.0,1259.0,739.0,473.0,75.0,528.0,317.0,476.0,1.0
mean,4.502,4.484552845528455,4.5135678391959795,5.06266318537859,6.362694300518135,7.079787234042553,6.989559164733179,6.362694300518135,8.750595710881653,8.833558863328824,8.408033826638478,6.826666666666667,9.854166666666666,10.022082018927446,9.754201680672269,4.0
std,0.7338491224594701,0.7233365073552308,0.7536409504959513,1.15375109099676,3.0864007798940984,3.21834483415375,3.1624440394313633,3.0864007798940984,1.9512514946167012,1.9591103769546494,2.0912699245096076,1.7581726795656825,2.0253473632463597,1.9815968387203011,2.096735104438957,
min,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0
25%,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,6.0,9.0,9.0,8.0,4.0
50%,4.0,4.0,4.0,5.0,4.0,7.0,6.0,4.0,9.0,9.0,8.0,6.0,10.0,10.0,10.0,4.0
75%,5.0,5.0,5.0,5.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,11.0,12.0,11.0,4.0
max,8.0,11.0,9.0,10.0,13.0,13.0,15.0,13.0,15.0,14.0,14.0,13.0,13.0,13.0,15.0,4.0
mode,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,9.0,8.0,9.0,6.0,10.0,10.0,9.0,4.0
range,4.0,7.0,5.0,6.0,9.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,0.0
variance,0.5385345345345344,0.5232157028728639,0.5679746822644409,1.331141579976214,9.525869774130898,10.357743471524131,10.001052302534958,9.525869774130898,3.80738239524391,3.8381134690913887,4.373409897158419,3.0911711711711716,4.102031941808982,3.926726031226291,4.396298098186643,
skewness,1.576759385885792,1.8269196869391424,1.5646557735920283,1.4912482071094326,0.8517692048010833,0.36056471107969795,0.4272149857921422,0.8517692048010833,0.23997728743453325,0.11252809915669477,0.09724363034321151,0.9460658563023169,-0.25576594226353633,-0.41877252226910777,-0.07799660499319791,
kurtosis,2.7741247339039856,5.7012740121511865,2.7120890930024655,2.4928684083127286,-0.8296680455720522,-1.4695946501824573,-1.3184564936271645,-0.8296680455720522,-0.389260224270946,-0.48057497693769635,-0.6002603633355355,0.9455941943470365,-0.6563091172611726,-0.48692056133580897,-0.5035229758485529,
