Statistics,MCTS vs Simple 1,MCTS vs MCTS,Simple 2 vs Random,Simple 2 vs Simple 1,Simple 2 vs Simple 2,Simple 2 vs MCTS,Simple 1 vs Random,Simple 1 vs Simple 1,Simple 1 vs Simple 2,Simple 1 vs MCTS,Random vs Random,Random vs Simple 1,Random vs Simple 2,Random vs MCTS
count,4.0,31.0,29.0,55.0,54.0,29.0,51.0,80.0,84.0,141.0,59.0,82.0,80.0,148.0
mean,6.5,4.709677419354839,9.827586206896552,6.6,8.61111111111111,9.827586206896552,10.0,6.875,7.238095238095238,4.574468085106383,9.152542372881356,6.365853658536586,8.0875,4.364864864864865
std,1.2909944487358056,1.006430934444312,2.268872682904778,2.8060780591555314,2.077885960030791,2.268872682904778,2.2978250586152114,3.123512304109598,2.5299128401532394,0.812703095963372,1.8552215159310712,2.751036595301879,2.057365588454556,0.573195466519718
min,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
25%,5.75,4.0,8.0,4.0,7.0,8.0,9.0,4.0,5.0,4.0,8.0,4.0,7.0,4.0
50%,6.5,4.0,11.0,5.0,8.0,11.0,10.0,6.0,7.0,4.0,9.0,4.0,8.0,4.0
75%,7.25,5.0,12.0,9.0,10.0,12.0,11.5,9.25,9.0,5.0,11.0,9.0,9.0,5.0
max,8.0,8.0,12.0,12.0,13.0,12.0,15.0,15.0,13.0,8.0,12.0,12.0,13.0,7.0
mode,5.0,4.0,12.0,4.0,8.0,12.0,9.0,4.0,4.0,4.0,11.0,4.0,9.0,4.0
range,3.0,4.0,7.0,8.0,8.0,7.0,10.0,11.0,9.0,4.0,7.0,8.0,9.0,3.0
variance,1.6666666666666667,1.0129032258064514,5.147783251231526,7.874074074074074,4.317610062893083,5.147783251231526,5.28,9.75632911392405,6.400458978772231,0.6604863221884498,3.4418468731735823,7.568202348690154,4.232753164556962,0.3285530428387572
skewness,0.0,1.6856237342431457,-0.8154883473148206,0.48511106589920444,0.30826527470730514,-0.8154883473148206,0.020588962091235136,0.5483785305563125,0.20534544323682144,1.5780781688515946,-0.38167940652484605,0.6206410722183581,-0.039999964826882374,1.5359098096075507
kurtosis,-1.1999999999999993,2.922938549850742,-0.530987186237752,-1.3179974775654368,-0.2852770527899522,-0.530987186237752,-0.432021982346658,-1.0066110341587522,-1.0583131498874407,2.6071322208652465,-0.5977850241442608,-1.1637349922187854,-0.3876252123038886,2.555772756584825
