player1_type,player2_type,starting_player,winning_player,5x5_final_board_flat
bot_random,bot_random,<__main__.Bot_random object at 0x7efe38e36d40>,0,[2 2 1 2 2 1 1 2 1 1 1 2 1 1 1 1 1 1 2 2 2 2 1 2 2]
bot_random,bot_simple,<__main__.Bot_random object at 0x7efe38e36cb0>,1,[2 1 1 1 1 1 2 2 1 1 2 2 1 2 1 0 1 2 2 2 2 1 0 1 2]
bot_random,bot_simple_2,<__main__.Bot_random object at 0x7efe38e36c80>,2,[1 1 0 0 1 1 1 0 2 0 1 2 2 2 2 0 0 1 2 1 0 2 0 1 2]
bot_random,bot_MCTS,<__main__.Bot_random object at 0x7efe38e36e90>,2,[1 0 0 0 0 1 0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 2 0 0]
bot_simple,bot_random,<__main__.Bot_simple object at 0x7efe38e36cb0>,2,[0 1 0 0 1 1 0 0 2 0 2 0 1 0 0 0 1 0 0 1 0 2 2 2 2]
bot_simple,bot_simple,<__main__.Bot_simple object at 0x7efe38e36e60>,1,[1 0 2 0 0 1 2 2 2 1 1 1 1 1 1 2 2 0 1 0 2 2 2 0 1]
bot_simple,bot_simple_2,<__main__.Bot_simple object at 0x7efe38e36e60>,2,[2 1 1 0 1 1 0 2 0 1 0 2 2 2 0 2 2 2 2 0 1 0 2 2 1]
bot_simple,bot_MCTS,<__main__.Bot_simple object at 0x7efe38e36e60>,2,[1 0 0 0 0 0 1 0 0 0 2 2 2 2 1 0 0 0 0 0 0 0 0 1 0]
bot_simple_2,bot_random,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,1,[2 0 2 2 1 2 0 2 0 2 1 1 1 1 0 1 2 2 1 2 1 1 2 1 2]
bot_simple_2,bot_simple,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,2,[1 0 0 2 0 0 0 1 0 2 0 0 1 1 2 0 0 0 1 2 2 1 1 0 2]
bot_simple_2,bot_simple_2,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,2,[2 2 2 2 0 0 0 0 2 0 0 1 1 1 0 0 0 0 1 0 0 0 0 1 0]
bot_simple_2,bot_MCTS,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,2,[0 0 0 0 0 2 2 2 2 0 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0]
bot_MCTS,bot_random,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[1 2 0 0 0 1 1 0 0 2 0 2 1 0 0 0 0 2 1 1 0 0 0 2 0]
bot_MCTS,bot_simple,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[1 0 0 0 0 2 1 2 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 0]
bot_MCTS,bot_simple_2,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 1 1 1 1 0 0 0 0 0]
bot_MCTS,bot_MCTS,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[0 0 0 0 0 1 1 1 1 0 0 1 2 0 0 0 2 2 2 0 0 0 0 0 0]
bot_random,bot_random,<__main__.Bot_random object at 0x7efe38e36e60>,1,[1 1 1 1 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0]
bot_random,bot_simple,<__main__.Bot_random object at 0x7efe38e36e60>,1,[1 0 2 2 1 2 0 2 2 1 2 2 1 2 2 1 1 1 1 1 1 1 2 1 2]
bot_random,bot_simple_2,<__main__.Bot_random object at 0x7efe38e36e60>,2,[0 0 1 1 2 0 1 2 1 0 0 0 2 2 1 0 0 1 2 0 0 2 2 2 2]
bot_random,bot_MCTS,<__main__.Bot_random object at 0x7efe38e36e60>,2,[0 0 1 0 0 0 0 1 0 0 1 1 0 2 0 0 2 2 2 2 0 0 1 0 0]
bot_simple,bot_random,<__main__.Bot_simple object at 0x7efe38e36e60>,1,[0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 2 2 0 0 2]
bot_simple,bot_simple,<__main__.Bot_simple object at 0x7efe38e36e60>,1,[0 2 0 0 0 0 2 1 0 0 0 2 1 0 0 0 0 1 0 0 0 0 1 0 0]
bot_simple,bot_simple_2,<__main__.Bot_simple object at 0x7efe38e36e60>,2,[0 1 1 0 1 0 1 0 1 0 2 2 2 2 0 1 0 1 2 0 0 0 2 2 1]
bot_simple,bot_MCTS,<__main__.Bot_simple object at 0x7efe38e36e60>,2,[0 1 0 0 2 0 1 0 2 0 0 1 2 0 0 0 2 0 0 0 0 1 0 0 0]
bot_simple_2,bot_random,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,1,[0 0 1 0 0 0 2 2 0 2 1 1 1 1 1 1 0 2 1 2 2 1 2 1 1]
bot_simple_2,bot_simple,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,0,[2 2 2 1 1 1 1 1 2 2 2 2 1 1 2 2 1 2 1 1 1 2 1 2 2]
bot_simple_2,bot_simple_2,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,2,[0 1 2 0 2 0 0 0 2 2 1 0 1 1 2 0 1 2 2 2 2 2 1 1 0]
bot_simple_2,bot_MCTS,<__main__.Bot_simple_v2 object at 0x7efe38e36e60>,2,[0 0 0 0 0 0 2 2 2 2 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0]
bot_MCTS,bot_random,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[0 0 0 0 1 0 0 0 1 0 2 0 1 2 0 0 1 0 0 2 0 0 0 0 0]
bot_MCTS,bot_simple,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 1 1 1 1 0 0 0 0 0 0]
bot_MCTS,bot_simple_2,<__main__.Bot_MCTS object at 0x7efe38e36e60>,1,[0 0 0 0 0 1 0 0 0 0 0 1 2 2 0 0 0 1 2 0 0 0 0 1 0]
bot_MCTS,bot_MCTS,<__main__.Bot_MCTS object at 0x7efe38e36e60>,0,[1 2 2 1 1 1 1 2 2 2 1 2 1 1 2 2 2 1 2 1 2 1 1 2 1]
bot_random,bot_random,<__main__.Bot_random object at 0x7efe38e36e60>,2,[0 0 1 1 0 2 2 2 1 1 1 0 1 0 0 0 2 2 2 2 2 1 0 0 1]
bot_random,bot_simple,<__main__.Bot_random object at 0x7efe38e36e60>,1,[1 2 1 2 2 1 2 2 1 1 2 2 2 1 2 1 1 2 2 1 2 1 1 1 1]
bot_random,bot_simple_2,<__main__.Bot_random object at 0x7efe38e36e60>,2,[0 0 0 0 1 0 1 0 0 2 0 0 2 2 0 1 0 2 2 0 1 2 0 0 1]
bot_random,bot_MCTS,<__main__.Bot_random object at 0x7efe38e36e60>,2,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 2 2 2 2 0 0 0 1 0]
bot_simple,bot_random,<__main__.Bot_simple object at 0x7efe38e36e60>,1,[2 0 2 2 2 2 1 1 1 1 1 1 2 2 1 1 1 1 2 2 1 0 2 1 2]
bot_simple,bot_simple,<__main__.Bot_simple object at 0x7efe38e36e60>,1,[1 0 0 2 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0]
